"CardName","ElementId","Type","EndpointPath","ComponentPath","Status","HasComponent","HasIframe","ComponentExists","Issues"
"docker-manager","docker-manager","App","apps\DockerManager\routes\cards\docker-manager\get.ps1","apps\DockerManager\public\elements\docker-manager\component.js","OK","True","False","True",""
"dockermanager-home","dockermanager-home","App","apps\DockerManager\routes\cards\dockermanager-home\get.ps1","apps\DockerManager\public\elements\dockermanager-home\component.js","OK","True","False","True",""
"kubernetes-status","kubernetes-status","App","apps\KubernetesManager\routes\cards\kubernetes-status\get.ps1","apps\KubernetesManager\public\elements\kubernetes-status\component.js","Missing","True","False","False","Component file missing"
"kubernetesmanager-home","kubernetesmanager-home","App","apps\KubernetesManager\routes\cards\kubernetesmanager-home\get.ps1","apps\KubernetesManager\public\elements\kubernetesmanager-home\component.js","OK","True","False","True",""
"linux-cron","linux-cron","App","apps\LinuxAdmin\routes\cards\linux-cron\get.ps1","apps\LinuxAdmin\public\elements\linux-cron\component.js","Missing","True","False","False","Component file missing"
"linux-services","linux-services","App","apps\LinuxAdmin\routes\cards\linux-services\get.ps1","apps\LinuxAdmin\public\elements\linux-services\component.js","Missing","True","False","False","Component file missing"
"linuxadmin-home","linuxadmin-home","App","apps\LinuxAdmin\routes\cards\linuxadmin-home\get.ps1","apps\LinuxAdmin\public\elements\linuxadmin-home\component.js","OK","True","False","True",""
"world-map","world-map","App","apps\Maps\routes\cards\world-map\get.ps1","apps\Maps\public\elements\world-map\component.js","OK","True","False","True",""
"mysql-manager","mysql-manager","App","apps\MySQLManager\routes\cards\mysql-manager\get.ps1","apps\MySQLManager\public\elements\mysql-manager\component.js","Unknown","False","False","False","Component file missing"
"redis-manager","redis-manager","App","apps\RedisManager\routes\cards\redis-manager\get.ps1","apps\RedisManager\public\elements\redis-manager\component.js","Missing","True","False","False","Component file missing"
"sqlite-manager","sqlite-manager","App","apps\SQLiteManager\routes\cards\sqlite-manager\get.ps1","apps\SQLiteManager\public\elements\sqlite-manager\component.js","Missing","True","False","False","Component file missing"
"sqlite-query-editor","sqlite-query-editor","App","apps\SQLiteManager\routes\cards\sqlite-query-editor\get.ps1","apps\SQLiteManager\public\elements\sqlite-query-editor\component.js","OK","True","False","True",""
"sqlserver-manager","sqlserver-manager","App","apps\SQLServerManager\routes\cards\sqlserver-manager\get.ps1","apps\SQLServerManager\public\elements\sqlserver-manager\component.js","OK","True","False","True",""
"area-chart","area-chart","App","apps\UI_Uplot\routes\cards\area-chart\get.ps1","apps\UI_Uplot\public\elements\area-chart\component.js","OK","True","False","True",""
"bar-chart","bar-chart","App","apps\UI_Uplot\routes\cards\bar-chart\get.ps1","apps\UI_Uplot\public\elements\bar-chart\component.js","OK","True","False","True",""
"heatmap","heatmap","App","apps\UI_Uplot\routes\cards\heatmap\get.ps1","apps\UI_Uplot\public\elements\heatmap\component.js","OK","True","False","True",""
"metrics-chart","metrics-chart","App","apps\UI_Uplot\routes\cards\metrics-chart\get.ps1","apps\UI_Uplot\public\elements\metrics-chart\component.js","OK","True","False","True",""
"multi-axis","multi-axis","App","apps\UI_Uplot\routes\cards\multi-axis\get.ps1","apps\UI_Uplot\public\elements\multi-axis\component.js","OK","True","False","True",""
"scatter-plot","scatter-plot","App","apps\UI_Uplot\routes\cards\scatter-plot\get.ps1","apps\UI_Uplot\public\elements\scatter-plot\component.js","OK","True","False","True",""
"time-series","time-series","App","apps\UI_Uplot\routes\cards\time-series\get.ps1","apps\UI_Uplot\public\elements\time-series\component.js","OK","True","False","True",""
"uplot-home","uplot-home","App","apps\UI_Uplot\routes\cards\uplot-home\get.ps1","apps\UI_Uplot\public\elements\uplot-home\component.js","OK","True","False","True",""
"unit-test-runner","unit-test-runner","App","apps\UnitTests\routes\cards\unit-test-runner\get.ps1","apps\UnitTests\public\elements\unit-test-runner\component.js","OK","True","False","True",""
"vault-manager","vault-manager","App","apps\vault\routes\cards\vault-manager\get.ps1","apps\vault\public\elements\vault-manager\component.js","OK","True","False","True",""
"apps-manager","apps-manager","App","apps\WebHostAppManager\routes\cards\apps-manager\get.ps1","apps\WebHostAppManager\public\elements\apps-manager\component.js","Missing","True","False","False","Component file missing"
"debug-console","debug-console","App","apps\WebHostDebugExtensions\routes\cards\debug-console\get.ps1","apps\WebHostDebugExtensions\public\elements\debug-console\component.js","OK","True","False","True",""
"debug-variables","debug-variables","App","apps\WebHostDebugVariables\routes\cards\debug-variables\get.ps1","apps\WebHostDebugVariables\public\elements\debug-variables\component.js","OK","True","False","True",""
"file-explorer","file-explorer","App","apps\WebhostFileExplorer\routes\cards\file-explorer\get.ps1","apps\WebhostFileExplorer\public\elements\file-explorer\component.js","OK","True","False","True",""
"file-sharing-modal","file-sharing-modal","App","apps\WebhostFileExplorer\routes\cards\file-sharing-modal\get.ps1","apps\WebhostFileExplorer\public\elements\file-sharing-modal\component.js","OK","True","False","True",""
"hex-editor","hex-editor","App","apps\WebhostFileExplorer\routes\cards\hex-editor\get.ps1","apps\WebhostFileExplorer\public\elements\hex-editor\component.js","OK","True","False","True",""
"text-editor","text-editor","App","apps\WebhostFileExplorer\routes\cards\text-editor\get.ps1","apps\WebhostFileExplorer\public\elements\text-editor\component.js","OK","True","False","True",""
"help-viewer","help-viewer","App","apps\WebHostHelpViewer\routes\cards\help-viewer\get.ps1","apps\WebHostHelpViewer\public\elements\help-viewer\component.js","OK","True","False","True",""
"cpu-histogram","cpu-histogram","App","apps\WebHostMetrics\routes\cards\cpu-histogram\get.ps1","apps\WebHostMetrics\public\elements\cpu-histogram\component.js","OK","True","False","True",""
"memory-histogram","memory-histogram","App","apps\WebHostMetrics\routes\cards\memory-histogram\get.ps1","apps\WebHostMetrics\public\elements\memory-histogram\component.js","OK","True","False","True",""
"server-heatmap","server-heatmap","App","apps\WebHostMetrics\routes\cards\server-heatmap\get.ps1","apps\WebHostMetrics\public\elements\server-heatmap\component.js","OK","True","False","True",""
"realtime-events","realtime-events","App","apps\WebhostRealtimeEvents\routes\cards\realtime-events\get.ps1","apps\WebhostRealtimeEvents\public\elements\realtime-events\component.js","OK","True","False","True",""
"task-manager","task-manager","App","apps\WebHostTaskManagement\routes\cards\task-manager\get.ps1","apps\WebHostTaskManagement\public\elements\task-manager\component.js","OK","True","False","True",""
"service-control","service-control","App","apps\WindowsAdmin\routes\cards\service-control\get.ps1","apps\WindowsAdmin\public\elements\service-control\component.js","OK","True","False","True",""
"task-scheduler","task-scheduler","App","apps\WindowsAdmin\routes\cards\task-scheduler\get.ps1","apps\WindowsAdmin\public\elements\task-scheduler\component.js","OK","True","False","True",""
"windowsadmin-home","windowsadmin-home","App","apps\WindowsAdmin\routes\cards\windowsadmin-home\get.ps1","apps\WindowsAdmin\public\elements\windowsadmin-home\component.js","OK","True","False","True",""
"wsl-manager","wsl-manager","App","apps\WSLManager\routes\cards\wsl-manager\get.ps1","apps\WSLManager\public\elements\wsl-manager\component.js","Missing","True","False","False","Component file missing"
"wslmanager-home","wslmanager-home","App","apps\WSLManager\routes\cards\wslmanager-home\get.ps1","apps\WSLManager\public\elements\wslmanager-home\component.js","OK","True","False","True",""
"admin","admin","Core","routes\cards\admin\role-management\get.ps1","public\elements\admin\component.js","Missing","True","False","False","Component file missing"
"admin","admin","Core","routes\cards\admin\users-management\get.ps1","public\elements\admin\component.js","Missing","True","False","False","Component file missing"
"card-validation","card-validation","Core","routes\cards\card-validation\get.ps1","public\elements\card-validation\component.js","OK","True","False","True",""
"event-stream","event-stream","Core","routes\cards\event-stream\get.ps1","public\elements\event-stream\component.js","OK","True","False","True",""
"help-viewer","help-viewer","Core","routes\cards\help-viewer\get.ps1","public\elements\help-viewer\component.js","OK","True","False","True",""
"job-status","job-status","Core","routes\cards\job-status\get.ps1","public\elements\job-status\component.js","OK","True","False","True",""
"main-menu","main-menu","Core","routes\cards\main-menu\get.ps1","public\elements\main-menu\component.js","OK","False","False","True","Missing title card implementation"
"markdown-viewer","markdown-viewer","Core","routes\cards\markdown-viewer\get.ps1","public\elements\markdown-viewer\component.js","OK","True","False","True",""
"memory-explorer","memory-explorer","Core","routes\cards\memory-explorer\get.ps1","public\elements\memory-explorer\component.js","OK","True","False","True",""
